[FPGA sim] port=12347  pass +fpga_id=N to tag output
Listening on port 12347
[FPGA3] TX #0.0  data=0x03000000
[FPGA3] TX #0.1  data=0x03000001
[FPGA3] TX #0.2  data=0x03000002
[FPGA3] TX #0.3  data=0x03000003
[FPGA3] TX #0.4  data=0x03000004
[FPGA3] TX #0.5  data=0x03000005
[FPGA3] TX #0.6  data=0x03000006
[FPGA3] TX #0.7  data=0x03000007
[FPGA3] RX #1      data=0x01000000 (len=4 B)
[FPGA3] RX #1      data=0x01000001 (len=4 B)
[FPGA3] RX #1      data=0x04000000 (len=4 B)
[FPGA3] RX #1      data=0x04000001 (len=4 B)
[FPGA3] RX #1      data=0x04000002 (len=4 B)
[FPGA3] RX #1      data=0x04000003 (len=4 B)
[FPGA3] RX #1      data=0x04000004 (len=4 B)
[FPGA3] TX #1.0  data=0x03000000
[FPGA3] TX #1.1  data=0x03000001
[FPGA3] TX #1.2  data=0x03000002
[FPGA3] RX #1      data=0x04000005 (len=4 B)
[FPGA3] TX #1.3  data=0x03000003
[FPGA3] RX #1      data=0x02000000 (len=4 B)
[FPGA3] TX #1.4  data=0x03000004
[FPGA3] TX #1.5  data=0x03000005
[FPGA3] TX #1.6  data=0x03000006
[FPGA3] RX #1      data=0x02000001 (len=4 B)
[FPGA3] TX #1.7  data=0x03000007
[FPGA3] RX #2      data=0x02000002 (len=4 B)
[FPGA3] RX #2      data=0x02000003 (len=4 B)
[FPGA3] RX #2      data=0x02000004 (len=4 B)
[FPGA3] RX #2      data=0x02000005 (len=4 B)
[FPGA3] RX #2      data=0x02000006 (len=4 B)
[FPGA3] RX #2      data=0x02000007 (len=4 B)
[FPGA3] RX #2      data=0x01000002 (len=4 B)
[FPGA3] RX #2      data=0x01000003 (len=4 B)
[FPGA3] RX #2      data=0x01000004 (len=4 B)
[FPGA3] RX #2      data=0x01000005 (len=4 B)
[FPGA3] RX #2      data=0x01000006 (len=4 B)
[FPGA3] TX #2.0  data=0x03000000
[FPGA3] TX #2.1  data=0x03000001
[FPGA3] TX #2.2  data=0x03000002
[FPGA3] TX #2.3  data=0x03000003
[FPGA3] RX #2      data=0x01000007 (len=4 B)
[FPGA3] TX #2.4  data=0x03000004
[FPGA3] RX #2      data=0x04000006 (len=4 B)
[FPGA3] TX #2.5  data=0x03000005
[FPGA3] RX #2      data=0x04000007 (len=4 B)
[FPGA3] TX #2.6  data=0x03000006
[FPGA3] RX #2      data=0x02000000 (len=4 B)
[FPGA3] TX #2.7  data=0x03000007
[FPGA3] RX #3      data=0x02000001 (len=4 B)
[FPGA3] RX #3      data=0x02000002 (len=4 B)
[FPGA3] RX #3      data=0x02000003 (len=4 B)
[FPGA3] RX #3      data=0x02000004 (len=4 B)
[FPGA3] RX #3      data=0x02000005 (len=4 B)
[FPGA3] RX #3      data=0x02000006 (len=4 B)
[FPGA3] RX #3      data=0x02000007 (len=4 B)
[FPGA3] RX #3      data=0x01000000 (len=4 B)
[FPGA3] RX #3      data=0x01000001 (len=4 B)
[FPGA3] RX #3      data=0x01000002 (len=4 B)
[FPGA3] RX #3      data=0x01000003 (len=4 B)
[FPGA3] TX #3.0  data=0x03000000
[FPGA3] TX #3.1  data=0x03000001
[FPGA3] TX #3.2  data=0x03000002
[FPGA3] RX #3      data=0x01000004 (len=4 B)
[FPGA3] TX #3.3  data=0x03000003
[FPGA3] RX #3      data=0x01000005 (len=4 B)
[FPGA3] TX #3.4  data=0x03000004
[FPGA3] RX #3      data=0x01000006 (len=4 B)
[FPGA3] TX #3.5  data=0x03000005
[FPGA3] RX #3      data=0x01000007 (len=4 B)
[FPGA3] TX #3.6  data=0x03000006
[FPGA3] RX #3      data=0x04000000 (len=4 B)
[FPGA3] TX #3.7  data=0x03000007
[FPGA3] RX #4      data=0x04000001 (len=4 B)
[FPGA3] RX #4      data=0x04000002 (len=4 B)
[FPGA3] RX #4      data=0x04000003 (len=4 B)
[FPGA3] RX #4      data=0x04000004 (len=4 B)
[FPGA3] RX #4      data=0x04000005 (len=4 B)
[FPGA3] RX #4      data=0x04000006 (len=4 B)
[FPGA3] RX #4      data=0x04000007 (len=4 B)
[FPGA3] RX #4      data=0x02000000 (len=4 B)
[FPGA3] RX #4      data=0x02000001 (len=4 B)
[FPGA3] RX #4      data=0x02000002 (len=4 B)
[FPGA3] RX #4      data=0x02000003 (len=4 B)
[FPGA3] TX #4.0  data=0x03000000
[FPGA3] TX #4.1  data=0x03000001
[FPGA3] TX #4.2  data=0x03000002
[FPGA3] RX #4      data=0x02000004 (len=4 B)
[FPGA3] TX #4.3  data=0x03000003
[FPGA3] RX #4      data=0x02000005 (len=4 B)
[FPGA3] TX #4.4  data=0x03000004
[FPGA3] RX #4      data=0x02000006 (len=4 B)
[FPGA3] TX #4.5  data=0x03000005
[FPGA3] RX #4      data=0x01000000 (len=4 B)
[FPGA3] TX #4.6  data=0x03000006
[FPGA3] RX #4      data=0x01000001 (len=4 B)
[FPGA3] TX #4.7  data=0x03000007
[FPGA3] RX #5      data=0x01000002 (len=4 B)
[FPGA3] RX #5      data=0x01000003 (len=4 B)
[FPGA3] RX #5      data=0x01000004 (len=4 B)
[FPGA3] RX #5      data=0x01000005 (len=4 B)
[FPGA3] RX #5      data=0x01000006 (len=4 B)
[FPGA3] RX #5      data=0x01000007 (len=4 B)
[FPGA3] RX #5      data=0x04000000 (len=4 B)
[FPGA3] RX #5      data=0x04000001 (len=4 B)
[FPGA3] RX #5      data=0x04000002 (len=4 B)
[FPGA3] RX #5      data=0x04000003 (len=4 B)
