[FPGA sim] port=12346  pass +fpga_id=N to tag output
[FPGA2] RX #10      data=0x01000005 (len=4 B)
[FPGA2] RX #10      data=0x01000006 (len=4 B)
[FPGA2] TX #10.0  data=0x02000000
[FPGA2] TX #10.1  data=0x02000001
[FPGA2] TX #10.2  data=0x02000002
[FPGA2] TX #10.3  data=0x02000003
[FPGA2] RX #10      data=0x01000007 (len=4 B)
[FPGA2] TX #10.4  data=0x02000004
[FPGA2] TX #10.5  data=0x02000005
[FPGA2] TX #10.6  data=0x02000006
[FPGA2] TX #10.7  data=0x02000007
[FPGA2] RX #11      data=0x01000000 (len=4 B)
[FPGA2] RX #11      data=0x01000001 (len=4 B)
[FPGA2] RX #11      data=0x01000002 (len=4 B)
[FPGA2] RX #11      data=0x01000003 (len=4 B)
[FPGA2] RX #11      data=0x01000004 (len=4 B)
[FPGA2] RX #11      data=0x01000005 (len=4 B)
[FPGA2] TX #11.0  data=0x02000000
[FPGA2] TX #11.1  data=0x02000001
[FPGA2] TX #11.2  data=0x02000002
[FPGA2] TX #11.3  data=0x02000003
[FPGA2] RX #11      data=0x01000006 (len=4 B)
[FPGA2] TX #11.4  data=0x02000004
[FPGA2] RX #11      data=0x01000007 (len=4 B)
[FPGA2] TX #11.5  data=0x02000005
[FPGA2] TX #11.6  data=0x02000006
[FPGA2] TX #11.7  data=0x02000007
[FPGA2] RX #12      data=0x01000000 (len=4 B)
[FPGA2] RX #12      data=0x01000001 (len=4 B)
[FPGA2] RX #12      data=0x01000002 (len=4 B)
[FPGA2] RX #12      data=0x01000003 (len=4 B)
[FPGA2] RX #12      data=0x01000004 (len=4 B)
[FPGA2] RX #12      data=0x01000005 (len=4 B)
[FPGA2] TX #12.0  data=0x02000000
[FPGA2] TX #12.1  data=0x02000001
[FPGA2] TX #12.2  data=0x02000002
[FPGA2] TX #12.3  data=0x02000003
[FPGA2] RX #12      data=0x01000006 (len=4 B)
[FPGA2] TX #12.4  data=0x02000004
[FPGA2] RX #12      data=0x01000007 (len=4 B)
[FPGA2] TX #12.5  data=0x02000005
[FPGA2] TX #12.6  data=0x02000006
[FPGA2] RX #12      data=0x01000000 (len=4 B)
[FPGA2] TX #12.7  data=0x02000007
[FPGA2] RX #13      data=0x01000001 (len=4 B)
[FPGA2] RX #13      data=0x01000002 (len=4 B)
[FPGA2] RX #13      data=0x01000003 (len=4 B)
[FPGA2] RX #13      data=0x01000004 (len=4 B)
[FPGA2] RX #13      data=0x01000005 (len=4 B)
[FPGA2] TX #13.0  data=0x02000000
[FPGA2] TX #13.1  data=0x02000001
[FPGA2] TX #13.2  data=0x02000002
[FPGA2] RX #13      data=0x01000006 (len=4 B)
[FPGA2] TX #13.3  data=0x02000003
[FPGA2] RX #13      data=0x01000007 (len=4 B)
[FPGA2] TX #13.4  data=0x02000004
[FPGA2] TX #13.5  data=0x02000005
[FPGA2] TX #13.6  data=0x02000006
[FPGA2] RX #13      data=0x01000000 (len=4 B)
[FPGA2] TX #13.7  data=0x02000007
[FPGA2] RX #14      data=0x01000001 (len=4 B)
[FPGA2] RX #14      data=0x01000002 (len=4 B)
[FPGA2] RX #14      data=0x01000003 (len=4 B)
[FPGA2] RX #14      data=0x01000004 (len=4 B)
[FPGA2] TX #14.0  data=0x02000000
[FPGA2] TX #14.1  data=0x02000001
[FPGA2] TX #14.2  data=0x02000002
[FPGA2] RX #14      data=0x01000005 (len=4 B)
[FPGA2] TX #14.3  data=0x02000003
[FPGA2] RX #14      data=0x01000006 (len=4 B)
[FPGA2] TX #14.4  data=0x02000004
[FPGA2] RX #14      data=0x01000007 (len=4 B)
[FPGA2] TX #14.5  data=0x02000005
[FPGA2] TX #14.6  data=0x02000006
[FPGA2] TX #14.7  data=0x02000007
[FPGA2] RX #15      data=0x01000000 (len=4 B)
[FPGA2] RX #15      data=0x01000001 (len=4 B)
[FPGA2] RX #15      data=0x01000002 (len=4 B)
[FPGA2] RX #15      data=0x01000003 (len=4 B)
[FPGA2] RX #15      data=0x01000004 (len=4 B)
[FPGA2] RX #15      data=0x01000005 (len=4 B)
[FPGA2] TX #15.0  data=0x02000000
[FPGA2] TX #15.1  data=0x02000001
[FPGA2] TX #15.2  data=0x02000002
[FPGA2] RX #15      data=0x01000006 (len=4 B)
[FPGA2] TX #15.3  data=0x02000003
[FPGA2] RX #15      data=0x01000007 (len=4 B)
[FPGA2] TX #15.4  data=0x02000004
[FPGA2] TX #15.5  data=0x02000005
[FPGA2] RX #15      data=0x01000000 (len=4 B)
[FPGA2] TX #15.6  data=0x02000006
[FPGA2] TX #15.7  data=0x02000007
[FPGA2] RX #16      data=0x01000001 (len=4 B)
[FPGA2] RX #16      data=0x01000002 (len=4 B)
[FPGA2] RX #16      data=0x01000003 (len=4 B)
[FPGA2] RX #16      data=0x01000004 (len=4 B)
[FPGA2] RX #16      data=0x01000005 (len=4 B)
[FPGA2] RX #16      data=0x01000006 (len=4 B)
[FPGA2] TX #16.0  data=0x02000000
[FPGA2] TX #16.1  data=0x02000001
[FPGA2] TX #16.2  data=0x02000002
[FPGA2] TX #16.3  data=0x02000003
[FPGA2] RX #16      data=0x01000007 (len=4 B)
[FPGA2] TX #16.4  data=0x02000004
[FPGA2] TX #16.5  data=0x02000005
[FPGA2] TX #16.6  data=0x02000006
[FPGA2] RX #16      data=0x01000000 (len=4 B)
[FPGA2] TX #16.7  data=0x02000007
[FPGA2] RX #17      data=0x01000001 (len=4 B)
[FPGA2] RX #17      data=0x01000002 (len=4 B)
[FPGA2] RX #17      data=0x01000003 (len=4 B)
[FPGA2] RX #17      data=0x01000004 (len=4 B)
[FPGA2] TX #17.0  data=0x02000000
[FPGA2] TX #17.1  data=0x02000001
[FPGA2] TX #17.2  data=0x02000002
[FPGA2] RX #17      data=0x01000005 (len=4 B)
[FPGA2] TX #17.3  data=0x02000003
[FPGA2] RX #17      data=0x01000006 (len=4 B)
[FPGA2] TX #17.4  data=0x02000004
[FPGA2] RX #17      data=0x01000007 (len=4 B)
[FPGA2] TX #17.5  data=0x02000005
[FPGA2] TX #17.6  data=0x02000006
[FPGA2] TX #17.7  data=0x02000007
[FPGA2] RX #18      data=0x01000000 (len=4 B)
[FPGA2] RX #18      data=0x01000001 (len=4 B)
[FPGA2] RX #18      data=0x01000002 (len=4 B)
[FPGA2] RX #18      data=0x01000003 (len=4 B)
[FPGA2] RX #18      data=0x01000004 (len=4 B)
[FPGA2] RX #18      data=0x01000005 (len=4 B)
[FPGA2] TX #18.0  data=0x02000000
[FPGA2] TX #18.1  data=0x02000001
[FPGA2] TX #18.2  data=0x02000002
[FPGA2] RX #18      data=0x01000006 (len=4 B)
[FPGA2] TX #18.3  data=0x02000003
[FPGA2] RX #18      data=0x01000007 (len=4 B)
[FPGA2] TX #18.4  data=0x02000004
[FPGA2] TX #18.5  data=0x02000005
[FPGA2] RX #18      data=0x01000000 (len=4 B)
[FPGA2] TX #18.6  data=0x02000006
[FPGA2] TX #18.7  data=0x02000007
[FPGA2] RX #19      data=0x01000001 (len=4 B)
[FPGA2] RX #19      data=0x01000002 (len=4 B)
[FPGA2] RX #19      data=0x01000003 (len=4 B)
[FPGA2] RX #19      data=0x01000004 (len=4 B)
[FPGA2] RX #19      data=0x01000005 (len=4 B)
[FPGA2] TX #19.0  data=0x02000000
[FPGA2] TX #19.1  data=0x02000001
[FPGA2] TX #19.2  data=0x02000002
[FPGA2] RX #19      data=0x01000006 (len=4 B)
[FPGA2] TX #19.3  data=0x02000003
[FPGA2] RX #19      data=0x01000007 (len=4 B)
[FPGA2] TX #19.4  data=0x02000004
[FPGA2] TX #19.5  data=0x02000005
[FPGA2] TX #19.6  data=0x02000006
[FPGA2] TX #19.7  data=0x02000007
[FPGA2] RX #20      data=0x01000000 (len=4 B)
[FPGA2] RX #20      data=0x01000001 (len=4 B)
[FPGA2] RX #20      data=0x01000002 (len=4 B)
[FPGA2] RX #20      data=0x01000003 (len=4 B)
[FPGA2] RX #20      data=0x01000004 (len=4 B)
[FPGA2] RX #20      data=0x01000005 (len=4 B)
[FPGA2] TX #20.0  data=0x02000000
[FPGA2] TX #20.1  data=0x02000001
[FPGA2] TX #20.2  data=0x02000002
[FPGA2] TX #20.3  data=0x02000003
[FPGA2] RX #20      data=0x01000006 (len=4 B)
[FPGA2] TX #20.4  data=0x02000004
[FPGA2] RX #20      data=0x01000007 (len=4 B)
[FPGA2] TX #20.5  data=0x02000005
[FPGA2] TX #20.6  data=0x02000006
[FPGA2] RX #20      data=0x01000000 (len=4 B)
[FPGA2] TX #20.7  data=0x02000007
[FPGA2] RX #21      data=0x01000001 (len=4 B)
[FPGA2] RX #21      data=0x01000002 (len=4 B)
[FPGA2] RX #21      data=0x01000003 (len=4 B)
[FPGA2] RX #21      data=0x01000004 (len=4 B)
[FPGA2] RX #21      data=0x01000005 (len=4 B)
[FPGA2] RX #21      data=0x01000006 (len=4 B)
[FPGA2] TX #21.0  data=0x02000000
[FPGA2] TX #21.1  data=0x02000001
[FPGA2] TX #21.2  data=0x02000002
[FPGA2] TX #21.3  data=0x02000003
[FPGA2] RX #21      data=0x01000007 (len=4 B)
[FPGA2] TX #21.4  data=0x02000004
[FPGA2] TX #21.5  data=0x02000005
[FPGA2] TX #21.6  data=0x02000006
[FPGA2] TX #21.7  data=0x02000007
[FPGA2] RX #22      data=0x01000000 (len=4 B)
[FPGA2] RX #22      data=0x01000001 (len=4 B)
[FPGA2] RX #22      data=0x01000002 (len=4 B)
[FPGA2] RX #22      data=0x01000003 (len=4 B)
[FPGA2] RX #22      data=0x01000004 (len=4 B)
[FPGA2] RX #22      data=0x01000005 (len=4 B)
[FPGA2] RX #22      data=0x01000006 (len=4 B)
[FPGA2] TX #22.0  data=0x02000000
[FPGA2] TX #22.1  data=0x02000001
[FPGA2] TX #22.2  data=0x02000002
[FPGA2] TX #22.3  data=0x02000003
[FPGA2] RX #22      data=0x01000007 (len=4 B)
[FPGA2] TX #22.4  data=0x02000004
[FPGA2] TX #22.5  data=0x02000005
[FPGA2] RX #22      data=0x01000000 (len=4 B)
[FPGA2] TX #22.6  data=0x02000006
[FPGA2] TX #22.7  data=0x02000007
[FPGA2] RX #23      data=0x01000001 (len=4 B)
[FPGA2] RX #23      data=0x01000002 (len=4 B)
[FPGA2] RX #23      data=0x01000003 (len=4 B)
[FPGA2] RX #23      data=0x01000004 (len=4 B)
[FPGA2] RX #23      data=0x01000005 (len=4 B)
[FPGA2] RX #23      data=0x01000006 (len=4 B)
[FPGA2] RX #23      data=0x01000007 (len=4 B)
[FPGA2] TX #23.0  data=0x02000000
[FPGA2] TX #23.1  data=0x02000001
[FPGA2] TX #23.2  data=0x02000002
[FPGA2] TX #23.3  data=0x02000003
[FPGA2] TX #23.4  data=0x02000004
[FPGA2] TX #23.5  data=0x02000005
[FPGA2] RX #23      data=0x01000000 (len=4 B)
[FPGA2] TX #23.6  data=0x02000006
[FPGA2] TX #23.7  data=0x02000007
[FPGA2] RX #24      data=0x01000001 (len=4 B)
[FPGA2] RX #24      data=0x01000002 (len=4 B)
[FPGA2] RX #24      data=0x01000003 (len=4 B)
[FPGA2] RX #24      data=0x01000004 (len=4 B)
[FPGA2] RX #24      data=0x01000005 (len=4 B)
[FPGA2] RX #24      data=0x01000006 (len=4 B)
[FPGA2] RX #24      data=0x01000007 (len=4 B)
[FPGA2] TX #24.0  data=0x02000000
[FPGA2] TX #24.1  data=0x02000001
[FPGA2] TX #24.2  data=0x02000002
[FPGA2] TX #24.3  data=0x02000003
[FPGA2] TX #24.4  data=0x02000004
[FPGA2] TX #24.5  data=0x02000005
[FPGA2] TX #24.6  data=0x02000006
[FPGA2] TX #24.7  data=0x02000007
[FPGA2] RX #25      data=0x01000000 (len=4 B)
[FPGA2] RX #25      data=0x01000001 (len=4 B)
[FPGA2] RX #25      data=0x01000002 (len=4 B)
[FPGA2] RX #25      data=0x01000003 (len=4 B)
[FPGA2] RX #25      data=0x01000004 (len=4 B)
[FPGA2] RX #25      data=0x01000005 (len=4 B)
[FPGA2] RX #25      data=0x01000006 (len=4 B)
[FPGA2] TX #25.0  data=0x02000000
[FPGA2] TX #25.1  data=0x02000001
[FPGA2] TX #25.2  data=0x02000002
[FPGA2] TX #25.3  data=0x02000003
[FPGA2] RX #25      data=0x01000007 (len=4 B)
[FPGA2] TX #25.4  data=0x02000004
[FPGA2] TX #25.5  data=0x02000005
[FPGA2] RX #25      data=0x01000000 (len=4 B)
[FPGA2] TX #25.6  data=0x02000006
[FPGA2] TX #25.7  data=0x02000007
[FPGA2] RX #26      data=0x01000001 (len=4 B)
[FPGA2] RX #26      data=0x01000002 (len=4 B)
[FPGA2] RX #26      data=0x01000003 (len=4 B)
[FPGA2] RX #26      data=0x01000004 (len=4 B)
[FPGA2] RX #26      data=0x01000005 (len=4 B)
[FPGA2] RX #26      data=0x01000006 (len=4 B)
[FPGA2] TX #26.0  data=0x02000000
[FPGA2] TX #26.1  data=0x02000001
[FPGA2] TX #26.2  data=0x02000002
[FPGA2] TX #26.3  data=0x02000003
[FPGA2] RX #26      data=0x01000007 (len=4 B)
[FPGA2] TX #26.4  data=0x02000004
[FPGA2] TX #26.5  data=0x02000005
[FPGA2] RX #26      data=0x01000000 (len=4 B)
[FPGA2] TX #26.6  data=0x02000006
[FPGA2] TX #26.7  data=0x02000007
[FPGA2] RX #27      data=0x01000001 (len=4 B)
[FPGA2] RX #27      data=0x01000002 (len=4 B)
[FPGA2] RX #27      data=0x01000003 (len=4 B)
[FPGA2] RX #27      data=0x01000004 (len=4 B)
[FPGA2] RX #27      data=0x01000005 (len=4 B)
[FPGA2] RX #27      data=0x01000006 (len=4 B)
[FPGA2] TX #27.0  data=0x02000000
[FPGA2] TX #27.1  data=0x02000001
[FPGA2] TX #27.2  data=0x02000002
[FPGA2] TX #27.3  data=0x02000003
[FPGA2] RX #27      data=0x01000007 (len=4 B)
[FPGA2] TX #27.4  data=0x02000004
[FPGA2] TX #27.5  data=0x02000005
[FPGA2] TX #27.6  data=0x02000006
[FPGA2] TX #27.7  data=0x02000007
[FPGA2] RX #28      data=0x01000000 (len=4 B)
[FPGA2] RX #28      data=0x01000001 (len=4 B)
[FPGA2] RX #28      data=0x01000002 (len=4 B)
[FPGA2] RX #28      data=0x01000003 (len=4 B)
[FPGA2] RX #28      data=0x01000004 (len=4 B)
[FPGA2] RX #28      data=0x01000005 (len=4 B)
[FPGA2] TX #28.0  data=0x02000000
[FPGA2] TX #28.1  data=0x02000001
[FPGA2] TX #28.2  data=0x02000002
[FPGA2] TX #28.3  data=0x02000003
[FPGA2] RX #28      data=0x01000006 (len=4 B)
[FPGA2] TX #28.4  data=0x02000004
[FPGA2] RX #28      data=0x01000007 (len=4 B)
[FPGA2] TX #28.5  data=0x02000005
[FPGA2] TX #28.6  data=0x02000006
[FPGA2] RX #28      data=0x01000000 (len=4 B)
[FPGA2] TX #28.7  data=0x02000007
[FPGA2] RX #29      data=0x01000001 (len=4 B)
[FPGA2] RX #29      data=0x01000002 (len=4 B)
[FPGA2] RX #29      data=0x01000003 (len=4 B)
[FPGA2] RX #29      data=0x01000004 (len=4 B)
[FPGA2] RX #29      data=0x01000005 (len=4 B)
[FPGA2] RX #29      data=0x01000006 (len=4 B)
[FPGA2] TX #29.0  data=0x02000000
[FPGA2] TX #29.1  data=0x02000001
[FPGA2] TX #29.2  data=0x02000002
[FPGA2] TX #29.3  data=0x02000003
[FPGA2] RX #29      data=0x01000007 (len=4 B)
[FPGA2] TX #29.4  data=0x02000004
[FPGA2] TX #29.5  data=0x02000005
[FPGA2] TX #29.6  data=0x02000006
[FPGA2] TX #29.7  data=0x02000007
[FPGA2] RX #30      data=0x01000000 (len=4 B)
[FPGA2] RX #30      data=0x01000001 (len=4 B)
[FPGA2] RX #30      data=0x01000002 (len=4 B)
[FPGA2] RX #30      data=0x01000003 (len=4 B)
[FPGA2] RX #30      data=0x01000004 (len=4 B)
[FPGA2] RX #30      data=0x01000005 (len=4 B)
[FPGA2] TX #30.0  data=0x02000000
[FPGA2] TX #30.1  data=0x02000001
[FPGA2] TX #30.2  data=0x02000002
[FPGA2] TX #30.3  data=0x02000003
[FPGA2] RX #30      data=0x01000006 (len=4 B)
[FPGA2] TX #30.4  data=0x02000004
[FPGA2] RX #30      data=0x01000007 (len=4 B)
[FPGA2] TX #30.5  data=0x02000005
[FPGA2] TX #30.6  data=0x02000006
[FPGA2] RX #30      data=0x01000000 (len=4 B)
[FPGA2] TX #30.7  data=0x02000007
[FPGA2] RX #31      data=0x01000001 (len=4 B)
[FPGA2] RX #31      data=0x01000002 (len=4 B)
[FPGA2] RX #31      data=0x01000003 (len=4 B)
[FPGA2] RX #31      data=0x01000004 (len=4 B)
[FPGA2] RX #31      data=0x01000005 (len=4 B)
[FPGA2] RX #31      data=0x01000006 (len=4 B)
[FPGA2] RX #31      data=0x01000007 (len=4 B)
[FPGA2] TX #31.0  data=0x02000000
[FPGA2] TX #31.1  data=0x02000001
[FPGA2] TX #31.2  data=0x02000002
[FPGA2] TX #31.3  data=0x02000003
[FPGA2] TX #31.4  data=0x02000004
[FPGA2] TX #31.5  data=0x02000005
[FPGA2] TX #31.6  data=0x02000006
[FPGA2] TX #31.7  data=0x02000007
[FPGA2] RX #32      data=0x01000000 (len=4 B)
[FPGA2] RX #32      data=0x01000001 (len=4 B)
[FPGA2] RX #32      data=0x01000002 (len=4 B)
[FPGA2] RX #32      data=0x01000003 (len=4 B)
[FPGA2] RX #32      data=0x01000004 (len=4 B)
[FPGA2] RX #32      data=0x01000005 (len=4 B)
[FPGA2] RX #32      data=0x01000006 (len=4 B)
[FPGA2] TX #32.0  data=0x02000000
[FPGA2] TX #32.1  data=0x02000001
[FPGA2] TX #32.2  data=0x02000002
[FPGA2] TX #32.3  data=0x02000003
[FPGA2] RX #32      data=0x01000007 (len=4 B)
[FPGA2] TX #32.4  data=0x02000004
[FPGA2] TX #32.5  data=0x02000005
[FPGA2] RX #32      data=0x01000000 (len=4 B)
[FPGA2] TX #32.6  data=0x02000006
[FPGA2] TX #32.7  data=0x02000007
[FPGA2] RX #33      data=0x01000001 (len=4 B)
[FPGA2] RX #33      data=0x01000002 (len=4 B)
[FPGA2] RX #33      data=0x01000003 (len=4 B)
[FPGA2] RX #33      data=0x01000004 (len=4 B)
[FPGA2] RX #33      data=0x01000005 (len=4 B)
[FPGA2] RX #33      data=0x01000006 (len=4 B)
[FPGA2] TX #33.0  data=0x02000000
[FPGA2] TX #33.1  data=0x02000001
[FPGA2] TX #33.2  data=0x02000002
[FPGA2] TX #33.3  data=0x02000003
[FPGA2] RX #33      data=0x01000007 (len=4 B)
[FPGA2] TX #33.4  data=0x02000004
[FPGA2] TX #33.5  data=0x02000005
[FPGA2] TX #33.6  data=0x02000006
[FPGA2] TX #33.7  data=0x02000007
[FPGA2] RX #34      data=0x01000000 (len=4 B)
[FPGA2] RX #34      data=0x01000001 (len=4 B)
[FPGA2] RX #34      data=0x01000002 (len=4 B)
[FPGA2] RX #34      data=0x01000003 (len=4 B)
[FPGA2] RX #34      data=0x01000004 (len=4 B)
[FPGA2] RX #34      data=0x01000005 (len=4 B)
[FPGA2] TX #34.0  data=0x02000000
[FPGA2] TX #34.1  data=0x02000001
[FPGA2] TX #34.2  data=0x02000002
[FPGA2] RX #34      data=0x01000006 (len=4 B)
[FPGA2] TX #34.3  data=0x02000003
[FPGA2] RX #34      data=0x01000007 (len=4 B)
[FPGA2] TX #34.4  data=0x02000004
[FPGA2] TX #34.5  data=0x02000005
[FPGA2] TX #34.6  data=0x02000006
[FPGA2] RX #34      data=0x01000000 (len=4 B)
[FPGA2] TX #34.7  data=0x02000007
[FPGA2] RX #35      data=0x01000001 (len=4 B)
[FPGA2] RX #35      data=0x01000002 (len=4 B)
[FPGA2] RX #35      data=0x01000003 (len=4 B)
[FPGA2] RX #35      data=0x01000004 (len=4 B)
